player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures,YEAR
Jaylan Foster,13095,S,S CAROLINA,12,0,0,289,85.2,1,1,8,2.3,0,0,1,37.5,2,349,8,4,0,57.6,0,0,2,2,0,0,0,0,102,2,0,2021
Mark Williams,21922,CB,LA MONROE,7,0,0,209,55.6,0,0,2,1,0,0,1,0,0,198,2,0,0,58.7,0,0,1,1.7,0,0,0,0,60,1,0,2021
Devin Taylor,22317,CB,BOWL GREEN,12,0,0,122,53,1,2,8,2.2,12.5,1,7,18.8,0,365,8,3,0,63.2,1,0,1,0.7,0,0,50,0,146,1,1,2021
Cortez Davis,22974,CB,HAWAII,13,0,0,180,64.1,1,2,17,2.9,11.8,2,5,14.7,1,592,17,4,0,68,1,0,4,2.5,25,1,12.5,0,162,4,1,2021
Dru Prox,23093,LB,UTSA,8,0,0,331,86.8,2,3,11,14.1,27.3,3,0,31.8,1,78,11,6,0,71.2,0,2,6,30,33.3,2,16.7,0,20,6,2,2021
Reggie Stubblefield,23441,S,KANSAS ST,11,1,0,199,63.9,0,6,47,16.8,10.6,5,2,8.5,1,286,48,7,0,61.7,0,3,18,37.3,16.7,3,8.3,0,51,19,3,2021
Mikel Horton,23509,DI,CHARLOTTE,7,0,1,136,73.1,3,10,145,100,9.7,14,1,5.2,1,155,155,14,0,77.7,2,4,42,100,19,8,9.5,1,44,44,7,2021
Colby Burton,23898,CB,HAWAII,6,0,0,180,57.2,0,0,2,3.3,0,0,1,0,0,60,2,0,0,,0,0,0,0,,0,,0,17,0,0,2021
Darion Dunn,23963,CB,TEXAS,11,0,0,311,56.3,0,0,6,3.4,0,0,1,0,0,177,6,0,0,,0,0,0,0,,0,,0,48,0,0,2021
Darren Evans,24171,CB,LSU,11,0,0,211,70.5,0,2,3,1.3,0,0,1,33.3,0,223,3,2,0,,0,0,0,0,,0,,0,69,0,0,2021
Alvinoski LaFleur,24504,S,E MICHIGAN,10,0,0,160,78,0,1,6,2.2,0,0,0,41.7,2,269,6,3,0,67,0,1,3,3.2,0,0,50,1,93,3,2,2021
Luc Bequette,25776,DI,CAL,11,5,0,130,66.2,3,10,272,97.4,6.6,18,0,3.5,3,302,294,16,2,64.7,1,6,116,95.3,9.5,11,4.7,2,129,123,9,2021
Jeremiah Moon,26453,LB,FLORIDA,10,0,0,163,68.5,1,12,89,41.4,11.2,10,0,9.6,2,222,92,15,0,68.5,1,5,36,49.3,16.7,6,8.3,0,75,37,6,2021
Brenden Schooler,28253,S,TEXAS,11,0,0,311,77,0,0,2,1.1,0,0,1,50,1,186,2,1,0,,0,0,0,0,,0,,0,46,0,0,2021
Richard Moore,28853,LB,SMU,11,0,0,287,77.3,12,5,47,24,17,8,4,20.2,1,217,52,18,0,81.3,6,2,20,26.3,25,5,25,1,80,21,9,2021
Jack Jones,29050,CB,ARIZONA ST,11,0,0,110,92.5,0,0,1,0.3,0,0,2,100,1,352,1,1,0,92.5,0,0,1,0.6,0,0,100,1,158,1,1,2021
Adeeb Atariwa,30482,ED,VIRGINIA,2,0,0,335,63.1,0,1,15,100,13.3,2,0,3.3,0,16,16,1,0,57.1,0,0,3,100,0,0,0,0,4,4,0,2021
Marshaun Cameron,30624,CB,COLO STATE,12,0,0,144,64.2,0,2,3,1.3,0,0,9,33.3,0,309,4,2,0,68.2,0,2,2,2,0,0,50,0,101,2,2,2021
Brian Cavicante,33444,LB,MARSHALL,8,0,0,214,77.8,0,2,11,14.9,36.4,4,1,18.2,1,74,11,3,0,66.9,0,2,3,12,66.7,2,33.3,0,25,3,2,2021
Brock Nichols,33753,S,USF,8,0,0,327,60,0,0,1,1.3,0,0,0,0,0,80,1,0,0,,0,0,0,0,,0,,0,9,0,0,2021
Meiko Dotson,33902,CB,FLORIDA ST,6,0,0,167,55.2,0,0,2,2.9,0,0,0,0,0,68,2,0,0,,0,0,0,0,,0,,0,27,0,0,2021
Denzel Feaster,34561,LB,UTSA,10,0,0,331,53.8,0,0,8,6.7,0,0,0,0,0,119,8,0,0,57.6,0,0,2,6.9,0,0,0,0,29,2,0,2021
Ferrod Gardner,34595,LB,LA LAFAYET,10,0,0,207,68.4,2,12,48,18.2,8.3,4,1,20.8,3,280,51,17,0,71.7,1,8,30,27,6.7,2,25,3,122,33,12,2021
John Petrishen,35069,LB,PITTSBURGH,12,0,0,268,67.6,1,2,49,17.1,4.1,2,0,13.3,5,293,50,8,0,77.6,1,0,14,15.2,7.1,1,32.1,4,99,15,5,2021
Cristian Williams,36151,S,TULSA,8,1,0,320,61.3,0,0,4,2.4,0,0,0,0,0,252,6,0,0,54.5,0,0,2,8.6,0,0,0,0,35,3,0,2021
Scott Patchan,36449,ED,COLO STATE,12,2,0,144,91.3,6,33,335,93,20.6,69,4,9.1,11,388,361,50,0,91.9,2,17,118,94,28,33,14,7,134,126,26,2021
Elijah Taylor,36723,ED,TULSA,10,0,0,320,58.7,0,4,127,100,4.7,6,3,3.1,2,133,133,6,0,61,0,1,20,100,15,3,2.5,0,20,20,1,2021
Thad Mangum,36819,DI,USF,12,0,0,327,56.9,2,10,251,99.3,5.2,13,1,2.4,0,269,267,12,0,60.5,1,3,38,97.7,13.2,5,5.3,0,44,43,4,2021
Micah Dew-Treadway,37050,DI,MINNESOTA,12,1,0,225,59.7,0,4,160,100,3.8,6,2,1.3,0,168,168,4,0,61.3,0,2,36,100,8.3,3,2.8,0,39,39,2,2021
Tony Fair,37101,DI,AUBURN,11,0,0,115,60.8,2,1,98,100,4.1,4,1,2.6,1,100,100,4,0,66.8,1,1,27,100,11.1,3,7.4,1,27,27,3,2021
Cameron Goode,38410,ED,CAL,11,5,0,130,77.7,10,20,354,88.9,13.6,48,3,6.5,8,423,376,38,0,74.2,7,13,160,93.9,18.8,30,8.1,3,179,168,23,2021
Josh Drayden,38498,CB,CAL,12,0,1,130,66.5,0,3,15,3.3,13.3,2,4,10,0,490,16,3,0,63.2,0,1,5,2.4,20,1,10,0,209,5,1,2021
Viane Moala,38501,DI,UTAH,3,1,0,328,74.4,0,9,56,100,12.5,7,0,8,0,59,59,9,1,75.7,0,7,21,100,23.8,5,16.7,0,22,22,7,2021
De'Vante Cross,39851,CB,VIRGINIA,8,0,0,335,60,0,0,1,0.7,0,0,0,0,0,277,2,0,0,,0,0,0,0,,0,,0,64,0,0,2021
Derrion Rakestraw,39968,S,TULANE,11,0,0,319,63.9,1,1,3,1.9,0,0,0,33.3,0,162,3,2,0,59.1,1,0,1,2.1,0,0,50,0,48,1,1,2021
Brandon Martin,40066,LB,BALL ST,5,0,0,117,68.3,1,1,7,6.7,14.3,1,1,14.3,0,104,7,2,0,65.1,0,1,3,16.7,33.3,1,16.7,0,18,3,1,2021
Kumehnnu Gwilly,40495,LB,C MICHIGAN,10,0,0,134,56.8,0,2,21,31.8,9.5,2,0,4.8,0,66,21,2,0,66.8,0,1,2,18.2,50,1,25,0,11,2,1,2021
Jahaziel Lee,40537,DI,LA MONROE,12,0,0,209,62.8,2,8,169,98.3,5.9,10,0,3,0,178,175,10,0,59.2,0,3,48,100,8.3,4,3.1,0,51,51,3,2021
Prather Hudson,40617,S,ILLINOIS,8,0,0,187,74.5,0,2,4,6.7,0,0,0,25,0,60,4,2,0,74.5,0,2,4,12.5,0,0,25,0,32,4,2,2021
