Player	Height	Weight 	Arm length(inch)	Handspan(inch)	40 yd 	vert jump	broad jump	three cone (s) 	20 yd shuffle 	Age 	Bench press	10 yd 
Nick Bosa	76	266	33	10.75	4.79	33.5	116	7.1	4.14	21	29	
Micah Parsons	75	245	31.5	11	4.42	34	126	6.96	4.4		19	1.59
Myles Garret	76	272	35.25	10.25	4.64	41	128			21	33	
Hassan Reddick	73	237	32.75	10.125	4.52	35.5	133	7.01	4.37	22	24	1.59
TJ Watt 	76	252	33.125	11	4.69	37	128	6.79	4.13	21	21	1.58
Maxx Crosby	77	255	32.875	9.75	4.66	36	122	6.89	4.13	21	18	1.62
Robert Quinn	76	265	34	10.125	4.62	34	116	7.13	4.4	23	22	1.53
Khalil Mack	75	251	33.25	10.25	4.65	40	128	7.08	4.18	23	23	1.56
Aiden Hutchinson	79	260	32.125	10.25	4.74	36	117	6.73	4.15	21		1.62
Josh Allen 	77	237	33.25	10.125	4.75	33.5	119	6.9	4.4		28	1.57
Average 	76	254	33.1125	10.3625	4.648	36.05	123.3	6.954444444	4.255555556	21.625	24.11111111	1.5825
